POS
"(-1.9751934225792356, 0.4892968109724255)"
"(-5.7793294653824, 0.314433253035737)"
"(8.37093150628569, -2.367117866828604)"
"(8.254107762756679, 1.7725924826254467)"
"(-0.22925607205233717, -4.168835260252411)"
"(0.06635169705451273, -11.258708203237015)"
"(2.629371459044389, -8.35669310520037)"
"(-6.06100436537616, -4.13497637086887)"
"(4.249756135862291, -2.9014164314365565)"
"(2.0911703866843934, 1.226312552270527)"
"(1.7284463661717067, 6.4478165879599345)"
"(-3.803489493690584, 6.334043795571526)"
"(-4.451879346325163, -2.4920811266391167)"
"(-5.631573719126266, -4.591571015163027)"
"(5.197000051746966, -3.318265863448276)"
"(4.072539880061882, 6.684783761198638)"
"(4.39893963626802, -2.716212048268739)"
"(7.0483169553472145, -0.37652240084072763)"
"(0.6010183015860359, 9.21916637650022)"
"(-2.0114956352416207, -9.139026518131509)"
"(6.37705667106664, 4.177765809272625)"
"(-1.6717711436627045, -2.852445835270249)"
"(0.9147177633939706, 2.7119261331384226)"
"(8.404919205084463, -3.643488223974585)"
"(-0.6257841212194313, -6.154415988750738)"
"(-3.2889343832368185, 3.140719403960182)"
"(-0.9324566414504301, 3.7430405462572134)"
"(2.230755711997249, -6.698057539754773)"
"(-9.214235173722253, 0.9420518631667576)"
"(7.2020519719201115, -3.6186485689961145)"
"(-2.182672540823048, 4.678192888089637)"
"(7.355889986086794, -0.5429156991991737)"
"(2.336156193662169, 4.880794466100734)"
"(5.560704814234773, -5.63728246857038)"
"(6.2134230341805985, -3.321917518329511)"
"(3.9735105098002492, -7.8951751379135136)"
"(6.969790183681023, 1.7661953671258985)"
"(-3.634198894441935, 0.37705523154678344)"
"(-1.684618211976667, -1.5622089669875403)"
"(-6.413824706751881, -0.5422986470256778)"
"(4.97634135279151, 3.9682603997423764)"
"(-7.124410946809318, -2.8701119504703465)"
"(-6.598614310679933, 2.72137584022601)"
"(-6.829975685862585, -3.648475186371062)"
"(-2.2045940487386497, -1.7863613761080648)"
"(1.5516242020310038, -10.089373997792038)"
"(-5.01960949852528, 3.3428711360906425)"
"(-5.071216913332082, 4.259548534293337)"
"(0.3238869227902025, 8.224857648054828)"
"(-2.2250720840817704, 6.691432153811837)"
"(-1.353199195442538, -7.173320069539809)"
"(2.573569324553329, 5.440011294869166)"
"(-8.272604725210602, 2.547306910481729)"
"(-3.2201731182123394, -2.9161487496598957)"
"(-2.05815943671857, 8.847746194217255)"
"(-2.8020602635290137, 0.35320585533231175)"
"(-1.6300758199505583, -3.24994470647235)"
"(-0.30950988899194853, 9.218208091651281)"
"(3.1057905738197507, -9.276855319754398)"
"(-2.056834753062357, -4.361448531538478)"
"(3.5406750490964995, -6.3375069928353955)"
"(-3.845241346626519, -0.44360338930928955)"
"(-4.450747877992101, -6.315113329999548)"
"(4.802309706091301, -4.738785654524539)"
"(3.271311043176664, -1.022331914062618)"
"(-0.5423658387633518, -3.040026995732702)"
"(-8.892199547046685, 1.6160942569352759)"
"(6.857632178830661, 2.8889725149142405)"
"(-4.419990173531069, -2.6438143778919505)"
"(4.214010006934421, -3.7809882609372907)"
"(1.1664787849285552, 1.835273945122733)"
"(-7.323388793662651, -0.7065305970846429)"
"(-6.425600361120994, -1.744523909507047)"
"(-2.23962967864131, 8.382671367776112)"
"(-3.6117923111231924, 7.277171824619592)"
"(-1.6131835849945475, 1.3846545099964114)"
"(-0.5865491932853146, -7.329518547949998)"
"(1.9022622626292605, 3.8230030594593702)"
"(-1.003447723804108, -5.437563082058119)"
"(4.188743323098362, 1.5855487196533138)"
"(-0.7600502841541559, -10.613859006764983)"
"(3.305195979530119, 2.69860088657673)"
"(0.049369880419895394, -9.293016132698746)"
"(-6.404960253169955, -5.259568486999656)"
"(-7.181934133159745, -2.1924070865568916)"
"(-3.0894458931806197, -6.160732136497247)"
"(-3.775923105395183, -7.1265003403264755)"
"(-1.823620021384834, 5.716363436782638)"
"(4.453101312372148, 5.1083242490074925)"
"(-2.2289130224808344, 8.426744905342728)"
"(4.6283960712217755, 4.502973855830816)"
"(-2.8084824787530507, -6.280459697832755)"
"(9.060964660234959, 1.7218103238573117)"
"(-6.150273208837605, 3.7472274253187345)"
"(0.9881630102024299, 4.44916135683274)"
"(7.03108353681399, -3.8766919182781034)"
"(0.790527397898268, -5.452012065112168)"
"(2.021484743884771, 7.928749874303064)"
"(0.37182363376309574, 8.19518264753988)"
"(0.6803334545966704, -0.4053383403556278)"
"(-2.535249447510737, -8.014849394902853)"
"(-2.0468356105059935, 3.564142042632368)"
"(-5.931392989688999, 5.133142011321439)"
"(5.501924262746878, -0.9449983400454235)"
"(-8.66328919843551, 1.8244578357806662)"
"(-8.694153953584948, 1.6551954279993464)"
"(1.663061098493946, 9.386198950268186)"
"(5.589393656193701, 3.483143707733263)"
"(5.22016115768632, -2.583447666246517)"
"(-4.352252375707303, -2.854643184941546)"
"(-7.062088666822447, -3.148052807134243)"
