POS
"(-0.8741557349528154, -2.4971316858977786)"
"(-4.675619875525668, 0.45315779234890813)"
"(7.3549444301978575, 2.37526470582904)"
"(3.5873132893349133, 3.369432426252693)"
"(2.4503373135559285, 2.7611420916220313)"
"(4.850299584807485, -0.8906917895778799)"
"(1.2345371714796756, 3.3562591664991617)"
"(1.3595189810922061, 0.522524071931315)"
"(-2.203675276468979, -4.5513932937075365)"
"(1.1011263937214377, -1.6803373213523733)"
"(-3.188187749718668, 4.637499382656068)"
"(-1.958184109972106, 1.4721687604146738)"
"(-4.7159282046688515, -3.844048466147223)"
"(-3.1611738835114602, 4.616566867393368)"
"(-3.0670959440355863, 0.3016165068952637)"
"(-2.177853646156301, -4.565033583673792)"
"(-0.6294554301177959, -2.0967423474526283)"
"(-0.09224080322205672, 3.2239952405356864)"
"(1.2438552335831432, -4.815278113537998)"
"(3.0149438013245, 3.6315431199573642)"
"(1.756007938356389, -5.211192696659777)"
"(-5.001268221600162, -1.0575926227024401)"
"(-1.7748879991600883, 2.9062506957312406)"
"(5.100241667349617, -0.5351053104346463)"
"(-5.522776338601274, 0.885317865197518)"
"(-1.287501061852481, 5.91701475653045)"
"(3.793847363440515, -0.8917302862406323)"
"(-1.2697326503739992, -1.3715997061104601)"
"(-1.9466134492792004, 4.778118469125145)"
"(-5.662366739352232, -0.24785148216760922)"
"(4.6772799416210935, -2.5779695872363115)"
"(-1.7976010333167716, 2.838014879883801)"
"(2.498864811230253, -2.608023530604217)"
"(0.9392383783384817, -0.8206572694213609)"
"(3.9089449060092525, -2.4604878568287205)"
"(0.17121463893441732, -0.2567550452867075)"
"(-4.705677557634724, 1.4786513313051215)"
"(-2.4970596220878165, -2.102388002137838)"
"(1.4601603817466662, -6.447579415065882)"
"(-3.5156923591284857, -2.5794465974179994)"
"(3.2360852920151104, -3.414254365469268)"
"(2.9351440678312297, -1.9628102867610908)"
"(-1.448465483539789, 5.867854174112847)"
"(5.185704776627881, 2.518489775794746)"
"(2.26408123089507, -6.245455497057249)"
"(5.9161465391779675, -1.2522044661930967)"
"(4.456874579521954, 1.143274442583185)"
"(-2.2023133785864255, -0.0716835483786234)"
"(2.537535862634062, -5.139190554048783)"
"(1.8594035214904094, -2.119852542620523)"
"(-3.9194384081381473, -1.7790320042792072)"
"(-3.9632549242846413, -2.959295402032302)"
"(1.7711850205468482, -7.387890471784881)"
"(-1.3944392584590732, -4.274309826642563)"
"(2.773311588646787, 5.067837505886011)"
"(-0.4764539553805371, 6.489346146680708)"
"(-6.667406944648509, 0.07979660370216335)"
"(4.756198769026647, 3.0853043106921176)"
"(3.2187383317080585, 3.570074540646704)"
"(-0.26823772906561744, 6.642408512966861)"
"(-5.536668594780403, 0.8823705960430908)"
"(-5.692787027344632, -0.3873782940882892)"
"(1.4651008277003923, 1.471383431713385)"
"(-3.9719123675133514, -0.8586656479480823)"
"(1.7717216451409041, -7.390335728367494)"
"(-2.7348084900021976, -4.063608799615212)"
"(4.662421865323771, -2.65696568836797)"
"(1.1955772075822626, -2.1041558017244193)"
"(0.6517195292593457, 4.5131620576042195)"
"(2.4382344171786894, 2.8027811815923998)"
"(-2.1481177422315487, 5.933569147523775)"
"(-6.700861966537252, -0.4100826039827486)"
"(-5.000811442370333, -2.97839795282461)"
"(2.287359900516287, 3.916759166705773)"
"(-3.360471699912014, -5.084257125953763)"
"(-4.878157797261985, -1.4992064705953292)"
"(3.9793572339016574, -1.7178570468231638)"
"(-1.9502582834141342, 1.4705468576756062)"
"(7.4091232652461345, 1.8140113108583693)"
