POS
"(-4.948821, 8.981297)"
"(-1.4266716, 6.4090114)"
"(13.172292, 5.74909)"
"(8.795657, 2.6246789)"
"(2.051976, 0.25768214)"
"(-1.7275043, 6.2360864)"
"(12.422854, 4.258922)"
"(5.057354, -3.5111053)"
"(9.377235, 9.834227)"
"(1.0268946, 6.307133)"
"(-6.619871, 6.5624237)"
"(2.3746665, 8.603039)"
"(5.024446, 10.664829)"
"(6.4567146, 12.9992285)"
"(-5.2391076, 1.3408467)"
"(-3.0250516, 8.188441)"
"(5.4496164, 11.667382)"
"(2.450284, 15.022963)"
"(2.2963707, 13.2559805)"
"(10.621159, 5.6558676)"
"(10.092487, 1.7805158)"
"(10.784087, 7.262138)"
"(1.7472876, 7.768166)"
"(0.26742077, 8.37977)"
"(1.3298697, 5.222771)"
"(1.5724294, 1.0557885)"
"(5.9309554, 5.611289)"
"(9.461857, 7.825646)"
"(-4.0376363, 4.4529343)"
"(-0.74592364, 13.192619)"
"(8.778277, 2.6346438)"
"(0.8600462, 1.6656781)"
"(5.527054, 7.580804)"
"(3.9598186, 0.48319376)"
